Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2,K1s,K2s,K3s,tau12s,tau3s
2.004585556983947754e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.181999999999999318e+01,4.003999999999999915e+01,1.000000000000000000e+00,5.190128250100000118e-01,5.536513263600000290e-01,1.453997692000000086e+02,2.000000000000000000e+01
2.034496784210205078e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.214000000000000057e+01,4.068999999999999773e+01,1.000000000000000000e+00,5.179758461500000299e-01,5.526847041700000407e-01,1.451109537300000056e+02,2.000000000000000000e+01
2.064633812904357910e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.245999999999999375e+01,4.117000000000000171e+01,1.000000000000000000e+00,5.110016630899999468e-01,5.515219581800000492e-01,1.442972007600000097e+02,2.000000000000000000e+01
2.094545979499816895e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.278000000000000114e+01,4.185000000000000142e+01,1.000000000000000000e+00,5.069027668200000170e-01,5.512599770399999599e-01,1.439179162000000076e+02,2.000000000000000000e+01
2.124455957412719727e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.290999999999999659e+01,4.246000000000000085e+01,1.000000000000000000e+00,4.987727458299999750e-01,5.504642770600000068e-01,1.429957998099999941e+02,2.000000000000000000e+01
2.154364218711853027e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.298000000000000398e+01,4.310000000000000142e+01,1.000000000000000000e+00,4.958677125600000068e-01,5.477777255800000411e-01,1.421253610599999888e+02,2.000000000000000000e+01
2.184273917675018311e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.343000000000000682e+01,4.384000000000000341e+01,1.000000000000000000e+00,4.948812698599999726e-01,5.468452848699999480e-01,1.418190180199999872e+02,2.000000000000000000e+01
2.214464569091796875e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.375000000000000000e+01,4.403999999999999915e+01,1.000000000000000000e+00,4.910116901700000147e-01,5.432497090600000300e-01,1.406087205400000073e+02,2.000000000000000000e+01
2.244369661808013916e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.406999999999999318e+01,4.475000000000000000e+01,1.000000000000000000e+00,4.873012981100000029e-01,5.415802639100000260e-01,1.397564052099999969e+02,2.000000000000000000e+01
2.274271187782287598e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.439000000000000057e+01,4.535999999999999943e+01,1.000000000000000000e+00,4.861046299699999795e-01,5.405431473799999775e-01,1.393865285200000130e+02,2.000000000000000000e+01
2.304178147315979004e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.471999999999999886e+01,4.607000000000000028e+01,1.000000000000000000e+00,4.841312599400000027e-01,5.388342794799999558e-01,1.387692580400000111e+02,2.000000000000000000e+01
2.334089999198913574e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.504000000000000625e+01,4.632999999999999829e+01,1.000000000000000000e+00,4.831189428600000113e-01,5.379534270800000462e-01,1.384443017199999986e+02,2.000000000000000000e+01
2.364001584053039551e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.535999999999999943e+01,4.678000000000000114e+01,1.000000000000000000e+00,4.801397793500000177e-01,5.375824136600000358e-01,1.378488804799999912e+02,2.000000000000000000e+01
2.393913118839263916e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.535999999999999943e+01,4.760999999999999943e+01,1.000000000000000000e+00,4.797093108200000122e-01,5.371989190499999456e-01,1.377038938100000109e+02,2.000000000000000000e+01
2.423824036121368408e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.548999999999999488e+01,4.793999999999999773e+01,1.000000000000000000e+00,4.782296929500000071e-01,5.352781275800000405e-01,1.370834922699999936e+02,2.000000000000000000e+01
2.454099428653717041e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.568000000000000682e+01,4.847999999999999687e+01,1.000000000000000000e+00,4.778725409099999766e-01,5.347461523900000069e-01,1.369243493200000046e+02,2.000000000000000000e+01
2.484007143974304199e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.565000000000000568e+01,4.900000000000000000e+01,1.000000000000000000e+00,4.767865754500000275e-01,5.324167853600000333e-01,1.363296715799999959e+02,2.000000000000000000e+01
2.513926308155059814e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.601000000000000512e+01,4.954999999999999716e+01,1.000000000000000000e+00,4.785582455699999849e-01,5.313844540700000119e-01,1.365048250899999971e+02,2.000000000000000000e+01
2.543827297687530518e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.632999999999999829e+01,5.028999999999999915e+01,1.000000000000000000e+00,4.790600315899999906e-01,5.286393340999999690e-01,1.362138991600000111e+02,2.000000000000000000e+01
2.573976235389709473e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.684000000000000341e+01,5.077000000000000313e+01,1.000000000000000000e+00,4.830454973700000210e-01,5.250099661399999507e-01,1.366281167999999866e+02,2.000000000000000000e+01
2.603882572650909424e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.717000000000000171e+01,5.115999999999999659e+01,1.000000000000000000e+00,4.933318196099999997e-01,5.177194736800000419e-01,1.380672083400000076e+02,2.000000000000000000e+01
2.633784558773040771e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.739000000000000057e+01,5.179999999999999716e+01,1.000000000000000000e+00,4.930302376099999773e-01,5.158561521600000255e-01,1.377460819800000138e+02,2.000000000000000000e+01
2.663696789741516113e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.768000000000000682e+01,5.253999999999999915e+01,1.000000000000000000e+00,4.972553520999999921e-01,5.116648527799999568e-01,1.383046577099999865e+02,2.000000000000000000e+01
2.693600294589996338e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.784000000000000341e+01,5.289999999999999858e+01,1.000000000000000000e+00,4.999378964999999786e-01,5.075600036699999817e-01,1.385419344500000136e+02,2.000000000000000000e+01
2.723506307601928711e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.775000000000000000e+01,5.357999999999999829e+01,1.000000000000000000e+00,5.000650233900000297e-01,5.042381470300000279e-01,1.381816075600000033e+02,2.000000000000000000e+01
2.753414049148559570e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.781000000000000227e+01,5.409000000000000341e+01,1.000000000000000000e+00,5.109639399500000012e-01,4.949356108299999835e-01,1.402413647600000104e+02,2.000000000000000000e+01
2.783325269222259521e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.793999999999999773e+01,5.479999999999999716e+01,1.000000000000000000e+00,5.159558734000000424e-01,4.916238555999999926e-01,1.413283550600000069e+02,2.000000000000000000e+01
2.813232803344726562e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.796999999999999886e+01,5.518999999999999773e+01,1.000000000000000000e+00,5.322998656099999781e-01,4.818273258499999878e-01,1.451722893699999872e+02,2.000000000000000000e+01
2.843472731113433838e+02,7.665092563626441802e+01,9.046162378132736137e+01,7.826000000000000512e+01,5.557000000000000028e+01,1.000000000000000000e+00,5.378139669999999484e-01,4.782956282899999967e-01,1.465301348200000007e+02,2.000000000000000000e+01
